No,商品コード,商品名称,細分類コード,細分類名称,メーカーコード,メーカー名称,出現日,容量,年月,地区コード,地区名称,金額,数量,平均価格,金額／販売店千人,数量／販売店千人,数量／店,販売店率
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年10月,27,大阪,1767685,17512,100.94,497.764,4.931,318.40,87.30%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年11月,13,東京,762364,7047,108.18,267.519,2.473,171.88,56.16%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年11月,27,大阪,1643509,16463,99.83,493.524,4.944,299.33,87.30%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年12月,13,東京,1532000,15063,101.71,498.584,4.902,376.58,54.79%
4,4902105252505,日清　おいしいカップヌードル　シーフード　６０ｇ,111203,カップ麺,4902105,日清食品,2018年08月25日,60,2023年12月,27,大阪,1753101,17619,99.50,486.108,4.885,320.35,87.30%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年01月,13,東京,740458,5036,147.03,164.059,1.116,71.94,95.89%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年01月,27,大阪,1363693,9797,139.19,396.798,2.851,155.51,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年02月,13,東京,618536,4025,153.67,139.300,0.906,56.69,97.26%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年02月,27,大阪,1511015,11386,132.71,450.439,3.394,180.73,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年03月,13,東京,727879,4523,160.93,150.600,0.936,64.61,95.89%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年03月,27,大阪,2159104,16830,128.29,591.196,4.608,267.14,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年04月,13,東京,679516,4224,160.87,139.620,0.868,59.49,97.26%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年04月,27,大阪,2238487,17749,126.12,626.169,4.965,281.73,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年05月,13,東京,867348,6032,143.79,179.468,1.248,87.42,94.52%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年05月,27,大阪,2502914,20405,122.66,672.977,5.486,323.89,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年06月,13,東京,664996,3855,172.50,141.355,0.819,55.87,94.52%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年06月,27,大阪,1073852,6669,161.02,301.235,1.871,107.56,98.41%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年07月,13,東京,985845,6097,161.69,198.696,1.229,88.36,94.52%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年07月,27,大阪,1864468,12785,145.83,496.517,3.405,202.94,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年08月,13,東京,1314884,8775,149.84,274.339,1.831,127.17,94.52%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年08月,27,大阪,2315799,15776,146.79,629.008,4.285,250.41,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年09月,13,東京,959572,6211,154.50,202.039,1.308,90.01,94.52%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年09月,27,大阪,1743855,11747,148.45,486.262,3.276,186.46,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年10月,13,東京,730802,4700,155.49,147.536,0.949,68.12,94.52%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年10月,27,大阪,1959672,13928,140.70,524.282,3.726,221.08,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年11月,13,東京,699586,4375,159.91,149.756,0.937,63.41,94.52%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年11月,27,大阪,1567319,10679,146.77,446.963,3.045,169.51,100.00%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年12月,13,東京,1205742,8411,143.35,236.912,1.653,123.69,93.15%
5,4902105022122,日清　日清焼そばＵＦＯ　１２８ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,128,2023年12月,27,大阪,3667349,30398,120.64,960.909,7.965,482.51,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年01月,27,大阪,2411982,18785,128.40,701.821,5.466,298.17,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年02月,27,大阪,2346698,18391,127.60,699.558,5.482,291.92,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年03月,27,大阪,2378888,18478,128.74,651.377,5.060,293.30,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年04月,27,大阪,2402062,18651,128.79,671.926,5.217,296.05,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年05月,27,大阪,2570815,20877,123.14,691.234,5.613,331.38,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年06月,27,大阪,1115484,6809,163.82,311.268,1.900,108.08,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年07月,27,大阪,1506604,10382,145.12,401.216,2.765,164.79,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年08月,27,大阪,1850663,12179,151.96,502.670,3.308,193.32,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年09月,27,大阪,1658606,10978,151.08,462.491,3.061,174.25,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年10月,27,大阪,3142156,23494,133.74,840.638,6.285,372.92,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年11月,27,大阪,2027460,14096,143.83,578.184,4.020,223.75,100.00%
6,4902105002674,日清のどん兵衛　きつねうどん　西　９５ｇ,111203,カップ麺,4902105,日清食品,2002年04月01日,95,2023年12月,27,大阪,6342716,54523,116.33,1661.901,14.286,865.44,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年01月,13,東京,1353602,9225,146.73,288.101,1.963,126.37,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年01月,27,大阪,1133514,7961,142.38,334.204,2.347,130.51,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年02月,13,東京,1235562,8002,154.41,269.523,1.746,109.62,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年02月,27,大阪,1081773,7692,140.64,326.940,2.325,126.10,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年03月,13,東京,1404488,9618,146.03,279.275,1.912,131.75,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年03月,27,大阪,1325485,9540,138.94,367.961,2.648,156.39,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年04月,13,東京,1289682,8807,146.44,256.818,1.754,120.64,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年04月,27,大阪,1347240,9891,136.21,381.949,2.804,162.15,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年05月,13,東京,1230426,8388,146.69,238.327,1.625,114.90,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年05月,27,大阪,1531012,11573,132.29,417.109,3.153,189.72,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年06月,13,東京,946143,6031,156.88,188.077,1.199,82.62,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年06月,27,大阪,763702,4847,157.56,215.905,1.370,79.46,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年07月,13,東京,1104536,6790,162.67,208.552,1.282,93.01,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年07月,27,大阪,966229,6235,154.97,260.653,1.682,102.21,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年08月,13,東京,1161287,6832,169.98,226.655,1.333,93.59,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年08月,27,大阪,1350707,8777,153.89,371.844,2.416,143.89,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年09月,13,東京,1459045,9421,154.87,287.167,1.854,129.05,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年09月,27,大阪,1256398,8561,146.76,354.964,2.419,140.34,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年10月,13,東京,1101652,6554,168.09,208.002,1.237,89.78,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年10月,27,大阪,931017,5917,157.35,252.330,1.604,97.00,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年11月,13,東京,1184765,7343,161.35,237.298,1.471,100.59,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年11月,27,大阪,1134444,7631,148.66,327.762,2.205,125.10,96.83%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年12月,13,東京,1302959,8040,162.06,237.200,1.464,110.14,100.00%
7,49698640,日清　カップヌードル　カレー　８７ｇ,111203,カップ麺,4902105,日清食品,2009年08月02日,87,2023年12月,27,大阪,1257359,8419,149.35,334.141,2.237,138.02,96.83%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年01月,13,東京,573244,5643,101.58,215.690,2.123,137.63,56.16%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年01月,27,大阪,1767254,18448,95.80,542.395,5.662,335.42,87.30%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年02月,13,東京,1119637,11273,99.32,425.104,4.280,268.40,57.53%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年02月,27,大阪,1556809,16829,92.51,490.156,5.299,305.98,87.30%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年03月,13,東京,623372,6143,101.48,207.812,2.048,142.86,58.90%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年03月,27,大阪,1454876,15398,94.48,420.689,4.452,279.96,87.30%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年04月,13,東京,763631,7613,100.31,257.659,2.569,181.26,57.53%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年04月,27,大阪,1407896,14710,95.71,415.314,4.339,267.45,87.30%
