No, Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8
No, 出席, 予習・復習, 難易度, 分量, 興味, 教員の熱意, 説明の仕方, 総合
121, 1, 3, 4, 4, 2, 1, 1, 1
122, 1, 3, 4, 4, 2, 1, 2, 2
123, 1, 3, 4, 3, 1, 1, 5, 2
124, , , 5, 4, 2, 3, 2, 3
125, 4, 4, 3, 3, 2, 3, 2, 2
126, 1, 4, 2, 5, 5, 3, 4, 2
127, 1, 4, 4, 3, 3, 2, 3, 2
128, 1, 4, 5, 3, 3, 2, 3, 2
129, 1, 4, 4, 4, 3, 2, 2, 1
130, 1, 4, 4, 4, 4, 3, 3, 3
131, 1, 3, 5, 5, 4, 1, 1, 1
132, 1, 1, 3, 2, 2, 2, 3, 1
133, 2, 4, 5, 5, 5, 3, 5, 5
134, 1, 4, 4, 3, 2, 2, 2, 2
135, 1, 4, 5, 4, 3, 1, 5, 4
136, 1, 4, 4, 4, 3, 3, 3, 3
137, 1, 4, 4, 3, 4, 4, 4, 4
138, 1, 1, 4, 3, 2, 2, 2, 2
139, 3, 4, 4, 3, 2, 2, 3, 2
140, 1, 4, 4, 3, 3, 4, 4, 3
141, 1, 4, 3, 3, 4, 3, 4, 3
142, 1, 4, 5, 4, 4, 2, 2, 2
143, 1, 4, 4, 4, 4, 2, 3, 2
144, 1, 4, 4, 3, 3, 1, 2, 1
145, 1, 4, 5, 4, 3, 2, 5, 4
146, 2, 2, 1, 3, 2, 3, 5, 2
147, 1, 4, 2, 3, 2, 3, 2, 2
148, 1, 1, 1, 1, 1, 1, 1, 1
149, 2, 4, 4, 3, 3, 3, 2, 2
150, 1, 3, 4, 3, 3, 2, 3, 2
151, 1, 1, 3, 3, 1, 1, 1, 1
152, 1, 2, 3, 3, 2, 1, 1, 1
153, 1, 1, 3, 3, 1, 1, 1, 1
154, 4, 4, 3, 3, 2, 4, 4, 4
155, 1, 4, 3, 3, 2, 1, 2, 1
156, 1, 4, 4, 3, 2, 3, 5, 3
157, , , , , , , , 
158, , , , , , , , 
159, , , , , , , , 
160, 1, 1, 3, 3, 1, 1, 5, 4
161, 1, 3, 4, 1, 1, 2, 4, 2
162, 1, 3, 3, 3, 2, 1, 2, 1
163, 2, 2, 3, 3, 2, 2, 2, 2
164, 1, 4, 4, 4, 3, 2, 2, 2
165, 1, 4, 4, 3, 2, 1, 2, 2
166, 1, 2, 4, 4, 4, 2, 4, 2
167, 1, 3, 4, 4, 4, 2, 3, 3
168, 1, 4, 5, 4, 3, 2, 4, 1
169, 2, 4, 5, 3, 4, 2, 5, 4
170, 1, 4, 4, 3, 3, 3, 2, 2
171, 1, 3, 4, 3, 2, 2, 2, 2
172, 1, 3, 4, 4, 2, 2, 3, 2
173, 1, 4, 5, 4, 5, 2, 4, 3
174, 1, 4, 5, 4, 5, 1, 4, 3
175, 1, 2, 4, 3, 2, 1, 1, 1
176, 1, 3, 4, 3, 2, 2, 1, 2
177, 1, 4, 3, 3, 3, 3, 2, 2
178, 1, 3, 4, 4, 3, 2, 4, 3
179, 1, 3, 3, 3, 2, 3, 2, 2
180, 1, 1, 3, 5, 3, 3, 5, 5
181, 1, 4, 4, 4, 3, 1, 3, 2
182, 1, 4, 5, 4, 4, 2, 2, 3
183, 1, 4, 4, 3, 2, 5, 5, 4
184, 2, 3, 5, 5, 4, 1, 4, 3
185, 1, 3, 4, 4, 4, 1, 3, 3
186, 1, 4, 3, 3, 3, 2, 2, 2
187, 1, 3, 4, 3, 2, 1, 1, 1
188, 1, 3, 4, 3, 2, 1, 1, 1
189, 1, 4, 3, 3, 2, 3, 2, 3
190, 1, 4, 4, 3, 3, 3, 3, 3
191, 1, 4, 4, 3, 2, 2, 2, 2
192, 1, 4, 3, 3, 3, 1, 3, 3
193, 1, 4, 4, 4, 4, 2, 3, 2
194, 1, 4, 5, 4, 3, 2, 1, 1
195, 1, 3, 4, 3, 2, 3, 4, 3
196, 1, 4, 5, 5, 5, 3, 4, 4
197, 1, 2, 4, 4, 1, 2, 4, 3
198, 1, 4, 5, 3, 3, 3, 3, 3
199, 1, 2, 4, 3, 3, 2, 2, 2
200, 1, 4, 5, 5, 5, 3, 5, 5
201, 1, 3, 5, 4, 2, 2, 3, 3
202, 1, 4, 4, 4, 4, 3, 5, 4
203, 1, 4, 4, 4, 3, 1, 1, 1
204, 1, 4, 4, 3, 3, 3, 4, 3
205, 1, 2, 3, 3, 2, 1, 4, 2
