Date,Close,High,Low,Open,Volume
2007/1/4,276.4898376,278.6911899,275.1690263,278.6911899,1982000
2007/1/5,274.7286987,276.9300505,274.2884284,276.9300505,2558000
2007/1/9,275.1690369,275.6093073,273.8482255,274.2884959,3076000
2007/1/10,272.0870972,275.1689899,272.0870972,275.1689899,3900000
2007/1/11,271.2065735,273.848196,270.3260327,273.4079255,4014000
2007/1/12,274.288269,274.288269,272.0869186,272.9674588,2662000
2007/1/15,276.0495605,276.9301014,274.2884788,275.1690197,1720000
2007/1/16,275.1690369,276.9301187,274.2884959,276.4898482,2862000
2007/1/17,272.5273132,273.8481241,270.766232,273.4078538,8086000
2007/1/18,270.3260193,272.5273712,270.3260193,272.5273712,8704000
2007/1/19,272.0870972,272.0870972,266.3635822,270.766286,10452000
2007/1/22,272.5273132,272.9675835,270.766232,272.5273132,2816000
2007/1/23,272.5273132,272.9675835,271.2065023,272.9675835,2486000
2007/1/24,272.9676514,273.4079218,272.527381,273.4079218,2620000
2007/1/25,271.2065735,273.848196,271.2065735,273.4079255,2950000
2007/1/26,272.5273132,272.5273132,270.766232,272.0870429,2252000
2007/1/29,271.646759,272.9675699,271.2064888,272.5272996,1988000
2007/1/30,272.5273132,272.9675835,271.2065023,271.2065023,3176000
2007/1/31,271.646759,272.9675699,271.2064888,272.9675699,3524000
2007/2/1,272.0870972,272.5273676,270.766286,272.0870972,3146000
2007/2/2,272.5273132,272.9675835,271.2065023,272.0870429,3352000
2007/2/5,271.2065735,272.9676551,270.7663031,272.9676551,3800000
2007/2/6,272.0870972,272.9676379,271.2065564,271.6468268,2464000
2007/2/7,272.0870972,273.4079083,271.6468268,272.5273676,2536000
2007/2/8,275.1690369,277.3703892,272.9676846,273.407955,5904000
2007/2/9,274.7286987,275.6092394,273.4078877,275.1689691,3766000
2007/2/13,288.3770142,289.6978249,283.9743117,284.4145819,15526000
2007/2/14,292.3394165,294.1004973,287.056174,287.9367144,8674000
2007/2/15,298.5032349,300.2643159,293.660262,294.1005323,14802000
2007/2/16,303.7865295,304.2267999,298.0630152,298.9435559,11138000
2007/2/19,308.1891479,309.9502288,303.7864458,303.7864458,12308000
