会社名,コード,格付,格付2,クレジットウォッチ,DmySP,株価終値,売買単位,発行株式数,企業価値,営業純利益,減価償却費,減損損失,繰延法人税,負債合計,利子支払,税支払,営業活動からのキャッシュフロー,設備投資費用,売上総収益,期首資本,期末資本,総資産,純資産,新株予約権,自己資本,企業分類
静岡銀行,8355,A,-,安定的,SP,790,100,595129069,4.70152E+11,60691,13411,2853,0,12970470,11753,16342,1110303,4197,230787,90845,90845,14075848,1105378,330,1103629,Bank
十六銀行,8356,A,+,安定的,NonSP,1935,100,37924134,73383199290,22524,3577,2005,0,6835365,1157,6216,580590,1059,111346,36839,36839,7238375,403009,169,389577,Bank
八十二銀行,8359,AA,,安定的,NonSP,354,100,511103411,1.80931E+11,31815,5847,266,0,11250943,7874,7886,1365598,6887,153969,52243,52243,12160638,909694,272,906020,Bank
八十二銀行,8359,A,-,,SP,354,100,511103411,1.80931E+11,31815,5847,266,0,11250943,7874,7886,1365598,6887,153969,52243,52243,12160638,909694,272,906020,Bank
大垣共立銀行,8361,A,,安定的,NonSP,1844,100,41831897,77138018068,11825,4710,53,0,7120082,3116,3332,1315246,1670,116425,46773,46773,7450778,330696,171,317631,Bank
福井銀行,8362,BBB,+,安定的,NonSP,1437,100,24144669,34695889353,4262,1159,90,0,3376707,434,1898,483845,4561,42381,17965,17965,3513315,136607,0,136607,Bank
北国銀行,8363,BBB,+,安定的,SP,2036,100,28115197,57242541092,11993,4076,650,0,5238244,599,6158,191877,2553,79098,26673,26673,5524513,286269,0,278463,Bank
清水銀行,8364,A,-,ポジティブ,NonSP,1537,100,11641318,17892705766,3447,1150,26,0,1708326,605,333,141149,385,27782,10816,10816,1795397,87071,72,85611,Bank
滋賀銀行,8366,A,+,安定的,NonSP,1855,100,53090081,98482100255,13051,2445,316,0,7298278,3785,4637,1239206,1094,86084,33076,33076,7793748,495469,84,495385,Bank
南都銀行,8367,A,,安定的,NonSP,1878,100,33025656,62022181968,15330,3574,389,0,6266784,1566,5283,532079,1194,81198,37924,37924,6560231,293447,63,293384,Bank
京都銀行,8369,A,-,安定的,SP,4710,100,75840688,3.5721E+11,23043,3393,0,0,11105754,5235,5917,1437527,2422,108156,42103,42103,12273908,1168153,356,1165373,Bank
紀陽銀行,8370,A,,ポジティブ,NonSP,1459,100,70300000,1.02568E+11,20538,2838,125,0,5418767,1594,4726,715233,1434,78909,80096,80096,5664467,245699,100,243941,Bank
山陰合同銀行,8381,AA,-,安定的,NonSP,545,100,156977472,85552722240,14167,2965,249,0,5990432,2354,4677,439075,724,89178,20705,20705,6370285,379852,170,379150,Bank
鳥取銀行,8383,BBB,,安定的,NonSP,1119,100,9619938,10764710622,1538,758,0,0,1036463,371,3,29461,203,13409,9061,9061,1085907,49444,0,49341,Bank
伊予銀行,8385,AA,,安定的,NonSP,540,100,323775366,1.74839E+11,25799,5089,200,0,7809498,5171,7845,778734,2849,124817,20948,20948,8550739,741240,273,732549,Bank
伊予銀行,8385,A,-,安定的,SP,540,100,323775366,1.74839E+11,25799,5089,200,0,7809498,5171,7845,778734,2849,124817,20948,20948,8550739,741240,273,732549,Bank
百十四銀行,8386,A,,安定的,NonSP,1510,100,30000000,45300000000,5111,3331,161,0,5083870,2836,3585,216353,1780,68950,37322,37322,5375569,291699,41,291658,Bank
四国銀行,8387,A,-,ポジティブ,NonSP,700,100,42900000,30030000000,9339,2262,227,0,3172405,1663,1928,224249,728,41502,25000,25000,3330943,158537,77,158325,Bank
阿波銀行,8388,AA,-,安定的,NonSP,1980,100,43240000,85615200000,12181,2923,374,0,3573180,2351,3688,301556,1028,65587,23452,23452,3866075,292894,0,292894,Bank
大分銀行,8392,A,+,安定的,NonSP,1687,100,16243634,27403010558,6323,1878,454,0,3610922,725,4470,341521,1819,57709,19598,19598,3813669,202746,266,202415,Bank
宮崎銀行,8393,A,,安定的,NonSP,1986,100,17633400,35019932400,12024,2723,0,0,3495280,820,3388,256482,860,54664,14697,14697,3653865,158585,191,158394,Bank
沖縄銀行,8397,A,+,安定的,NonSP,2468,100,24240000,59824320000,7929,2110,0,0,2508951,647,2098,305507,857,51788,22725,22725,2672564,163612,157,160579,Bank
筑邦銀行,8398,BBB,+,安定的,NonSP,1650,100,6249020,10310883000,1817,384,0,0,834876,138,458,48558,276,17658,8000,8000,877316,42440,0,39928,Bank
琉球銀行,8399,A,+,安定的,NonSP,723,100,43108470,31167423810,3728,2936,21,0,2646326,505,2525,295374,2100,57278,56967,56967,2778142,131815,219,131596,Bank
セブン銀行,8410,A,,ネガティブ,SP,239,100,1179308000,2.81855E+11,35655,14070,0,0,962482,613,13358,136039,10436,137267,30702,30724,1197158,234676,0,233269,Bank
みずほフィナンシャルグループ,8411,AA,-,安定的,NonSP,1566,100,2539249894,3.97647E+12,652163,163231,12793,0,216224003,496241,216995,16613235,107392,3218095,2256767,2256767,225586211,9362207,134,9256276,Bank
みずほフィナンシャルグループ,8411,A,-,安定的,SP,1566,100,2539249894,3.97647E+12,652163,163231,12793,0,216224003,496241,216995,16613235,107392,3218095,2256767,2256767,225586211,9362207,134,9256276,Bank
