会社名,コード,格付,格付2,クレジットウォッチ,DmySP,株価終値,売買単位,発行株式数,企業価値,営業純利益,減価償却費,減損損失,繰延法人税,負債合計,利子支払,税支払,営業活動からのキャッシュフロー,設備投資費用,売上総収益,期首資本,期末資本,総資産,純資産,新株予約権,自己資本,企業分類
鴻池運輸,9025,A,-,安定的,J1,1261,100,56952442,71817029362,8906,8138,1315,0,153999,255,4470,14465,12665,19561,99572,104798,258798,104798,459,101555,General
西日本鉄道,9031,A,+,安定的,NonSP,2616,100,79360186,2.07606E+11,12586,20796,2766,0,537858,2000,1718,9939,0,20294,180549,169946,707804,169946,442,164158,General
近鉄グループホールディングス,9041,BBB,+,安定的,NonSP,3685,100,190662061,7.0259E+11,83505,54779,28788,0,1616553,7864,5682,25470,0,64871,405295,338494,1955048,338494,0,320595,General
阪急阪神ホールディングス,9042,AA,-,安定的,J1,3225,100,254281385,8.20057E+11,41013,57502,0,0,1711042,8885,29871,32501,0,26741,937672,909985,2621028,909985,0,867151,General
南海電気鉄道,9044,A,-,安定的,J1,2316,100,113402446,2.6264E+11,1197,29410,2120,0,703660,4149,6944,21338,0,12360,256003,258569,962229,258569,0,246500,General
京阪ホールディングス,9045,A,,安定的,J1,3000,100,113182703,3.39548E+11,977,21307,2560,0,515652,2086,5705,15282,0,40624,254058,248595,764247,248595,144,244319,General
名古屋鉄道,9048,A,+,安定的,NonSP,1839,100,196700692,3.61733E+11,22525,39351,9334,0,783619,3231,12591,19685,0,30384,438401,407512,1191131,407512,0,372015,General
山陽電気鉄道,9052,BBB,+,安定的,NonSP,1934,100,22330598,43187376532,830,3916,47,0,57762,251,1500,2020,5471,5685,41524,41842,99605,41842,0,41842,General
丸全昭和運輸,9068,A,-,ポジティブ,NonSP,3450,100,20612844,71114311800,10244,4157,0,0,57063,175,2923,11376,10489,14558,92497,100858,157922,100858,0,99054,General
センコーグループホールディングス,9069,A,-,安定的,NonSP,1106,100,152952221,1.69165E+11,22602,17419,3053,0,289506,1171,6822,31858,33618,71751,134181,145754,435260,145754,410,134776,General
トナミホールディングス,9070,A,-,安定的,NonSP,4900,100,9761011,47828953900,7228,4972,357,0,73563,247,2095,9581,4516,13627,71225,77214,150777,77214,0,76856,General
福山通運,9075,A,+,安定的,NonSP,4095,100,55770363,2.2838E+11,22740,16846,0,0,198545,219,6368,33219,17671,28851,256138,273378,471923,273378,0,269569,General
セイノーホールディングス,9076,AA,-,安定的,NonSP,1389,100,207679783,2.88467E+11,27621,20352,53,0,249613,407,12324,38685,0,66193,432813,422634,672247,422634,0,419260,General
神奈川中央交通,9081,BBB,+,安定的,NonSP,3390,100,12600000,42714000000,6735,7070,1325,0,103902,411,1592,40,0,7535,60556,55156,159058,55156,0,50814,General
日本郵船,9101,A,,ポジティブ,NonSP,5880,100,170055098,9.99924E+11,170418,98803,24385,0,1458068,15978,9902,159336,0,233181,498839,667411,2125480,667411,0,625333,General
商船三井,9104,A,,安定的,J1,5650,100,120628611,6.81552E+11,100313,85798,10298,0,1396409,12518,9183,98898,0,80370,641235,699150,2095559,699150,1347,577783,General
川崎汽船,9107,BBB,+,ポジティブ,J2,3720,100,93938229,3.4945E+11,113854,43869,6307,0,658446,10056,3308,33397,41718,35440,200234,316162,974608,316162,0,218194,General
飯野海運,9119,BBB,+,安定的,NonSP,452,100,108900000,49222800000,8158,11083,0,0,165776,1256,368,19282,0,13326,73428,79835,245611,79835,0,79730,General
日本航空,9201,A,,ネガティブ,NonSP,2283,100,437143500,9.97999E+11,404078,190585,0,0,1125744,2927,10045,219519,0,481225,1049617,981535,2107279,981535,0,947459,General
ANAホールディングス,9202,A,-,安定的,NonSP,2564,100,484293561,1.24173E+12,545372,176352,75575,0,2195563,16689,749,270441,134174,728683,1068870,1012320,3207883,1012320,0,1007233,General
三菱倉庫,9301,AA,,安定的,J1,3240,100,87960739,2.84993E+11,56111,14860,81,0,208932,568,5450,40176,0,21854,286356,326829,535761,326829,0,323595,General
三井倉庫ホールディングス,9302,A,,安定的,NonSP,2541,100,24883002,63227708082,19040,8783,3407,0,169842,969,5260,21257,6791,35465,54842,68529,238371,68529,0,62698,General
住友倉庫,9303,AA,-,安定的,J1,1592,100,82886615,1.31955E+11,13466,9093,0,0,152726,399,3136,20605,15788,20695,171976,196241,348968,196241,285,188959,General
澁澤倉庫,9304,A,-,安定的,NonSP,2096,100,15217747,31896397712,4099,3163,0,0,56145,135,1436,6952,3271,7043,44512,48251,104397,48251,0,47906,General
東陽倉庫,9306,BBB,,安定的,NonSP,314,100,39324953,12348035242,1713,1375,0,0,21741,34,559,3079,1155,1890,19859,21150,42892,21150,0,21150,General
中央倉庫,9319,BBB,+,安定的,NonSP,992,100,19064897,18912377824,1931,1415,24,0,10288,40,584,2902,2301,2472,38659,40617,50906,40617,0,40388,General
安田倉庫,9324,A,-,安定的,NonSP,950,100,30360000,28842000000,4111,3174,0,0,70865,341,1338,3943,9218,6354,68477,76235,147101,76235,0,75943,General
朝日放送グループホールディングス,9405,A,-,安定的,NonSP,705,100,41833000,29492265000,256,3088,24,0,49378,29,612,5952,6116,25951,69091,69700,119079,69700,0,66036,General
スカパーJSATホールディングス,9412,A,,安定的,J1,414,100,297404212,1.23125E+11,19887,23323,0,0,150253,1269,2223,57948,11444,52524,228943,235314,385568,235314,0,234249,General
日本電信電話,9432,AAA,,安定的,NonSP,2803,100,3900788940,1.09339E+13,1127856,1507153,25699,0,14762449,42190,524331,3009064,0,11943966,11462627,8203043,22965492,8203043,0,7562707,General
日本電信電話,9432,A,,安定的,SP,2803,100,3900788940,1.09339E+13,1127856,1507153,25699,0,14762449,42190,524331,3009064,0,11943966,11462627,8203043,22965492,8203043,0,7562707,General
ソフトバンク,9434,AA,-,安定的,J1,1430,100,4787145170,6.84562E+12,547720,696342,0,0,9475960,64360,273560,1338949,0,2503747,1707564,2750700,12226660,2750700,0,1512212,General
光通信,9435,BBB,,安定的,SP,18930,100,46549642,8.81185E+11,82170,16463,0,0,827813,5897,27916,58121,0,295553,318583,429030,1256844,429030,0,393444,General
光通信,9435,A,,ポジティブ,J1,18930,100,46549642,8.81185E+11,82170,16463,0,0,827813,5897,27916,58121,0,295553,318583,429030,1256844,429030,0,393444,General
東京電力ホールディングス,9501,BB,+,ネガティブ,SP,292,100,3547017531,1.03573E+12,190393,412039,0,0,8950354,42681,6333,239825,0,143460,2916886,3142801,12093155,3142801,18,3125300,General
東京電力ホールディングス,9501,A,,安定的,J1,292,100,3547017531,1.03573E+12,190393,412039,0,0,8950354,42681,6333,239825,0,143460,2916886,3142801,12093155,3142801,18,3125300,General
中部電力,9502,AA,,安定的,J1,1317,100,758000000,9.98286E+11,192308,182663,0,0,3582663,19355,35887,384148,0,145694,1962065,2103684,5686348,2103684,0,2031166,General
関西電力,9503,AA,,安定的,J1,1036,100,938733028,9.72527E+11,155296,290586,0,0,6350197,22462,30016,369215,0,145746,1641754,1725557,8075755,1725557,0,1684528,General
中国電力,9504,BBB,+,安定的,SP,992,100,387154692,3.84057E+11,18628,83418,0,0,2724823,1065,13534,110228,0,34283,646698,660346,3385169,660346,0,657195,General
中国電力,9504,AA,,安定的,J1,992,100,387154692,3.84057E+11,18628,83418,0,0,2724823,10645,13534,110228,0,34283,646698,660346,3385169,660346,0,657195,General
北陸電力,9505,AA,,安定的,NonSP,572,100,210333694,1.20311E+11,12531,54346,78,0,1239886,6916,6432,56639,0,17828,336456,355740,1595626,355740,0,338625,General
東北電力,9506,AA,,安定的,NonSP,831,100,502882585,4.17895E+11,54495,229111,0,0,3569547,15453,17207,217617,0,261608,864177,901534,4471081,901534,0,826467,General
四国電力,9507,AA,,安定的,NonSP,722,100,223086202,1.61068E+11,5188,59058,0,0,1102470,5675,8590,52293,0,6456,326648,327953,1430424,327953,0,325678,General
四国電力,9507,A,-,安定的,SP,722,100,223086202,1.61068E+11,5188,59058,0,0,1102470,5675,8590,52293,0,6456,326648,327953,1430424,327953,0,325678,General
九州電力,9508,AA,-,安定的,J1,830,100,474184951,3.93574E+11,56255,188002,0,0,4444069,26258,7315,253459,0,77397,637957,682752,5126822,682752,0,653586,General
北海道電力,9509,AA,-,安定的,NonSP,493,100,215292382,1.06139E+11,41411,79267,0,0,1711916,10400,6691,136547,0,53775,247381,289733,2001650,289733,0,277102,General
沖縄電力,9511,A,+,安定的,SP,1403,100,56927965,79869934895,11335,22346,0,0,263957,1123,2133,31686,0,12619,155710,163073,427031,163073,0,161433,General
電源開発,9513,AA,+,安定的,J1,1610,100,183051100,2.94712E+11,64674,96445,5706,0,1988274,23746,13113,167959,0,143921,857387,853685,2841960,853685,0,809145,General
電源開発,9513,A,,安定的,SP,1610,100,183051100,2.94712E+11,64674,96445,5706,0,1988274,23746,13113,167959,0,143921,857387,853685,2841960,853685,0,809145,General
イーレックス,9517,A,-,安定的,NonSP,3080,100,59220200,1.82398E+11,13563,3872,1289,0,73382,500,3525,18704,1958,24564,34262,54496,127879,54496,0,44078,General
レノバ,9519,BBB,,安定的,NonSP,4930,100,78200400,3.85528E+11,12908,6015,0,0,195682,2318,3625,12469,4560,20553,16909,24864,220546,24864,0,15252,General
東京ガス,9531,AAA,,安定的,NonSP,2078,100,442436059,9.19382E+11,66184,179809,10255,0,1560077,12629,32482,255574,172652,552522,1159138,1178271,2738348,1178271,0,1153814,General
東京ガス,9531,AA,-,安定的,SP,2078,100,442436059,9.19382E+11,66184,179809,10255,0,1560077,12629,32482,255574,172652,552522,1159138,1178271,2738348,1178271,0,1153814,General
大阪ガス,9532,AA,+,安定的,NonSP,2051,100,416680000,8.54611E+11,108735,106550,19016,0,1198759,11087,23924,219797,169607,442328,1027667,1114597,2313357,1114597,0,1081881,General
大阪ガス,9532,AA,-,安定的,SP,2051,100,416680000,8.54611E+11,108735,106550,19016,0,1198759,11087,23924,219797,169607,442328,1027667,1114597,2313357,1114597,0,1081881,General
東邦ガス,9533,AA,+,安定的,NonSP,5330,100,105606285,5.62881E+11,13331,37463,4730,0,242342,744,7748,64397,0,149260,322768,359492,601835,359492,0,359492,General
北海道ガス,9534,A,,安定的,J1,1559,100,17737806,27653239554,5996,13642,0,0,96988,329,1343,22399,10240,34289,50411,54234,151223,54234,44,52147,General
広島ガス,9535,A,,安定的,J1,370,100,68120955,25204753350,7769,7360,98,0,55671,177,1005,13967,7157,28252,52136,59805,115477,59805,0,56770,General
西部ガスホールディングス,9536,AA,-,安定的,J1,2426,100,37187567,90217037542,3739,20430,704,0,303808,1360,1716,20748,0,70975,80604,86121,389929,86121,0,80043,General
メタウォーター,9551,A,+,安定的,NonSP,2002,100,51758500,1.03621E+11,11053,1247,0,0,77761,153,2527,10404,735,29619,49592,53432,131194,53432,0,53266,General
NTTデータ,9613,AA,+,安定的,J1,1691,100,1402500000,2.37163E+12,81701,214324,0,0,1770468,6380,34911,352492,0,584575,987415,1126548,2897015,1126548,0,1072899,General
共立メンテナンス,9616,BBB,,ネガティブ,NonSP,3615,100,39219818,1.4178E+11,14870,5711,442,0,168247,455,1223,17835,7099,9987,83954,70784,239032,70784,0,70784,General
イチネンホールディングス,9619,BBB,+,安定的,J2,1239,100,24612227,30494549253,4885,15864,0,0,122241,80,2734,3161,0,24827,36915,39706,161948,39706,62,39644,General
アインホールディングス,9627,A,,安定的,NonSP,6680,100,35428212,2.3666E+11,11767,4243,804,0,87825,44,6595,14928,3930,46155,111003,115837,203662,115837,0,115759,General
カナモト,9678,A,-,安定的,NonSP,2550,100,38742241,98792714550,13731,28896,0,0,174174,554,6768,40701,3211,51128,121779,126188,300362,126188,0,119091,General
スクウェア・エニックス・ホールディングス,9684,A,,ポジティブ,NonSP,5670,100,122531596,6.94754E+11,45694,7515,520,0,92866,87,15092,35000,4949,159208,221928,243278,336144,243278,762,242365,General
SCSK,9719,A,,ポジティブ,NonSP,6580,100,104181803,6.85516E+11,46557,18433,0,0,153060,474,7684,50219,12710,102969,200405,227338,380399,227338,0,226874,General
セコム,9735,AA,+,安定的,NonSP,8254,100,233298049,1.92564E+12,128843,60759,95,0,634355,824,43801,181932,47861,330571,1172494,1229824,1864179,1229824,0,1082179,General
コナミグループ,9766,A,+,安定的,NonSP,6040,100,143500000,8.6674E+11,32274,19172,22232,0,189464,899,16744,69770,0,113441,268943,299542,489006,299542,0,298727,General
ベネッセホールディングス,9783,A,+,安定的,NonSP,2514,100,102541528,2.57789E+11,6557,19025,530,0,366944,5890,8431,25843,5373,186185,175339,175037,541982,175037,105,169775,General
日鉄物産,9810,A,+,安定的,J1,4680,100,32307800,1.51201E+11,24890,5782,0,0,605195,2439,7522,47255,5971,120697,254877,278247,883442,278247,0,255546,General
ヤマダホールディングス,9831,A,+,安定的,NonSP,516,100,966647930,4.9879E+11,77513,21470,14030,0,580054,1360,14707,122281,22765,521036,645166,672545,1252599,672545,1578,649416,General
JKホールディングス,9896,BBB,,ポジティブ,J2,807,100,31840016,25694892912,5133,2559,147,0,161112,394,1805,8846,2792,37336,42079,45176,206288,45176,0,43733,General
バローホールディングス,9956,A,-,安定的,J1,2319,100,53987499,1.25197E+11,24544,18234,2843,0,249267,854,7069,44138,26981,210613,140645,155190,404458,155190,134,142862,General
ソフトバンクグループ,9984,BB,+,安定的,SP,6837,100,1722953730,1.17798E+13,5078236,851316,0,0,33794860,307250,324460,557250,0,2874929,7372917,11955593,45750453,11955593,0,10213093,General
ソフトバンクグループ,9984,A,-,ポジティブ,J1,6837,100,1722953730,1.17798E+13,5078236,851316,0,0,33794860,307250,324460,557250,0,2874929,7372917,11955593,45750453,11955593,0,10213093,General
サンドラッグ,9989,A,+,安定的,NonSP,3550,100,119331184,4.23626E+11,37188,8663,229,0,103371,6,11655,31761,15817,158550,186822,205156,308528,205156,75,205081,General
ベルーナ,9997,BBB,+,安定的,NonSP,928,100,97244472,90242870016,17743,3321,189,0,126980,201,3364,20772,7827,121556,102525,113231,240211,113231,0,112620,General
