"n","x","y"
"1",838.706,0.435922719045768
"2",1211.122,0.395250024357579
"3",1212.066,0.395687198551894
"4",1333.031,0.291304553307462
"5",1353.582,0.364987123055714
"6",1357.241,0.358067579744496
"7",1370.82,0.361305641878584
"8",1380.429,0.349186376119308
"9",1404.06,0.357788128712448
"10",1407.206,0.33994738510211
"11",1413.239,0.36039976253132
"12",1414.842,0.37508569861511
"13",1428.187,0.340574448584114
"14",1435.151,0.343795879318622
"15",1455.957,0.381466622984058
"16",1471.361,0.332149622016623
"17",1489.738,0.342510562259941
"18",1506.258,0.346943883451573
"19",1507.941,0.329643533798736
"20",1512.65,0.355323438997785
"21",1517.314,0.351247006222838
"22",1568.325,0.370655316978305
"23",1580.097,0.351864474143043
"24",1584.492,0.329037950333608
"25",1593.552,0.338321560890388
"26",1603.098,0.328463387765439
"27",1622.249,0.350044290364796
"28",1628.849,0.35930402388435
"29",1630.509,0.361542929232528
"30",1634.62,0.337238624267414
"31",1672.032,0.364594696752215
"32",1680.553,0.365535035193773
"33",1701.176,0.362525100283569
"34",1710.89,0.353168818568114
"35",1749.943,0.338956754591435
"36",1756.457,0.354743668646599
"37",1766.263,0.34430942617266
"38",1778.616,0.35003508345815
"39",1811.194,0.348918448272245
"40",1815.089,0.3169431361217
"41",1827.182,0.33557084078105
"42",1842.92,0.353471664532373
"43",1868.825,0.325650074244512
"44",1934.044,0.340322143653402
"45",2042.867,0.346420985800838
"46",2054.142,0.334563043840202
"47",2106.069,0.335569252479382
"48",2108.918,0.328823595796517
"49",2145.255,0.349272231040133
"50",2152.127,0.335052717613784
"51",2155.197,0.340470499912537
"52",2158.719,0.332789029049172
"53",2164.429,0.331598310686098
"54",2171.151,0.316255755587704
"55",2173.338,0.32729331562785
"56",2178.1,0.311531610118911
"57",2189.323,0.32945435643804
"58",2190.844,0.296226477101975
"59",2191.94,0.343641249304269
"60",2198.477,0.302037273985582
"61",2201.985,0.299091501531573
"62",2205.697,0.299789590319976
"63",2217.831,0.290663716036073
"64",2219.515,0.312971077014573
"65",2224.631,0.309406368966359
"66",2225.373,0.323066739822942
"67",2238.004,0.320156711069328
"68",2239.609,0.322674181073571
"69",2242.352,0.304937405010453
"70",2247.546,0.328743438399036
"71",2253.831,0.316613357434519
"72",2258.447,0.32909738417594
"73",2261.642,0.312889042562881
"74",2265.037,0.325197778226139
"75",2270.647,0.324758978388098
"76",2271.522,0.337975595217656
"77",2279.737,0.328899342336419
"78",2284.229,0.320621093594381
"79",2302.96,0.298369923923993
"80",2309.298,0.297162167896911
"81",2312.703,0.330701348162734
"82",2315.167,0.330762748432402
"83",2319.133,0.312467633378508
"84",2320.243,0.29442778191767
"85",2331.051,0.314509635353323
"86",2336.674,0.295952708850272
"87",2343.379,0.311211716073243
"88",2349.667,0.293583303506412
"89",2350.161,0.32419523598596
"90",2355.724,0.328622538124161
"91",2359.417,0.298971313676217
"92",2360.383,0.325848389858764
"93",2362.931,0.331677480214192
"94",2370.674,0.288289321939668
"95",2370.75,0.304542866181588
"96",2372.011,0.294301333341203
"97",2374.279,0.312090954769848
"98",2382.866,0.31164488477321
"99",2388.067,0.319746472774843
"100",2388.373,0.316199772816055
"101",2401.662,0.323161210861478
"102",2402.853,0.293750803732064
"103",2403.96,0.328725103579095
"104",2404.324,0.294152951099769
"105",2428.132,0.304827744125937
"106",2430.325,0.310662154238631
"107",2437.882,0.295641872740354
"108",2443.074,0.308339002420721
"109",2452.702,0.292925516430451
"110",2456.086,0.275677236057695
"111",2456.633,0.294815302082159
"112",2456.944,0.303547007990414
"113",2461.948,0.28658322596578
"114",2463.116,0.317637090579575
"115",2495.926,0.292575981819974
"116",2497.659,0.297573047401587
"117",2499.713,0.31220104067947
"118",2504.363,0.296189490101874
"119",2508.125,0.29031049090456
"120",2522.207,0.308539703521559
"121",2531.563,0.287343826718908
"122",2536.035,0.316859585928428
"123",2549.437,0.306366856682475
"124",2551.201,0.295487105876801
"125",2553.363,0.319475530897879
"126",2565.016,0.297454674746668
"127",2569.457,0.320072295430513
"128",2579.172,0.320725798822258
"129",2583.821,0.294353594927822
"130",2591.737,0.30181457454981
"131",2598.036,0.310812860175918
"132",2602.405,0.319137105869378
"133",2602.682,0.286373825154206
"134",2605.712,0.283241202404564
"135",2609.586,0.301321742222713
"136",2617.267,0.293325824228097
"137",2617.496,0.303705908242076
"138",2621.652,0.28974516831372
"139",2622.58,0.297786530820795
"140",2624.864,0.282031754788058
"141",2646.114,0.290940601954413
"142",2651.919,0.314161556216461
"143",2655.777,0.300183712713831
"144",2665.856,0.292205580496471
"145",2670.78,0.279837725308711
"146",2671.51,0.308234294462682
"147",2675.562,0.317076935612032
"148",2679.455,0.301120190486498
"149",2681.726,0.297113873676878
"150",2685.706,0.317199276465853
"151",2685.719,0.316443753050859
"152",2719.931,0.307760013029742
"153",2732.291,0.29740536421633
"154",2740.806,0.310328056783297
"155",2742.655,0.278118830111698
"156",2743.728,0.316343310998758
